"Structure","P_Level","N_S","N_M","N_L"
"Uniform Medium",134,0,0,0
"Uniform Large",134,0,0,0
"Equal",134,0,0,0
"Small Skewed",134,0,0,0
"Uniform Small",135,0,0,0
"Uniform Medium",135,0,0,0
"Uniform Large",135,0,0,0
"Equal",135,0,0,0
"Small Skewed",135,0,0,0
"Uniform Small",136,0,0,0
"Uniform Medium",136,0,0,0
"Uniform Large",136,0,0,0
"Equal",136,0,0,0
"Small Skewed",136,0,0,0
"Uniform Small",137,0,0,0
"Uniform Medium",137,0,0,0
"Uniform Large",137,0,0,0
"Equal",137,0,0,0
"Small Skewed",137,0,0,0
"Uniform Small",138,0,0,0
"Uniform Medium",138,0,0,0
"Uniform Large",138,0,0,0
"Equal",138,0,0,0
"Small Skewed",138,0,0,0
"Uniform Small",139,0,0,0
"Uniform Medium",139,0,0,0
"Uniform Large",139,0,0,0
"Equal",139,0,0,0
"Small Skewed",139,0,0,0
"Uniform Small",140,0,0,0
"Uniform Medium",140,0,0,0
"Uniform Large",140,0,0,0
"Equal",140,0,0,0
"Small Skewed",140,0,0,0
"Uniform Small",141,0,0,0
"Uniform Medium",141,0,0,0
"Uniform Large",141,0,0,0
"Equal",141,0,0,0
"Small Skewed",141,0,0,0
"Uniform Small",142,0,0,0
"Uniform Medium",142,0,0,0
"Uniform Large",142,0,0,0
"Equal",142,0,0,0
"Small Skewed",142,0,0,0
"Uniform Small",143,0,0,0
"Uniform Medium",143,0,0,0
"Uniform Large",143,0,0,0
"Equal",143,0,0,0
"Small Skewed",143,0,0,0
"Uniform Small",144,0,0,0
"Uniform Medium",144,0,0,0
"Uniform Large",144,0,0,0
"Equal",144,0,0,0
"Small Skewed",144,0,0,0
"Uniform Small",145,0,0,0
"Uniform Medium",145,0,0,0
"Uniform Large",145,0,0,0
"Equal",145,0,0,0
"Small Skewed",145,0,0,0
"Uniform Small",146,0,0,0
"Uniform Medium",146,0,0,0
"Uniform Large",146,0,0,0
"Equal",146,0,0,0
"Small Skewed",146,0,0,0
"Uniform Small",147,0,0,0
"Uniform Medium",147,0,0,0
"Uniform Large",147,0,0,0
"Equal",147,0,0,0
"Small Skewed",147,0,0,0
"Uniform Small",148,0,0,0
"Uniform Medium",148,0,0,0
"Uniform Large",148,0,0,0
"Equal",148,0,0,0
"Small Skewed",148,0,0,0
"Uniform Small",149,0,0,0
"Uniform Medium",149,0,0,0
"Uniform Large",149,0,0,0
"Equal",149,0,0,0
"Small Skewed",149,0,0,0
"Uniform Small",150,0,0,0
"Uniform Medium",150,0,0,0
"Uniform Large",150,0,0,0
"Equal",150,0,0,0
"Small Skewed",150,0,0,0
"Uniform Small",151,0,0,0
"Uniform Medium",151,0,0,0
"Uniform Large",151,0,0,0
"Equal",151,0,0,0
"Small Skewed",151,0,0,0
"Uniform Small",152,0,0,0
"Uniform Medium",152,0,0,0
"Uniform Large",152,0,0,0
"Equal",152,0,0,0
"Small Skewed",152,0,0,0
"Uniform Small",153,0,0,0
"Uniform Medium",153,0,0,0
"Uniform Large",153,0,0,0
"Equal",153,0,0,0
"Small Skewed",153,0,0,0
"Uniform Small",154,0,0,0
"Uniform Medium",154,0,0,0
"Uniform Large",154,0,0,0
"Equal",154,0,0,0
"Small Skewed",154,0,0,0
"Uniform Small",155,0,0,0
"Uniform Medium",155,0,0,0
"Uniform Large",155,0,0,0
"Equal",155,0,0,0
"Small Skewed",155,0,0,0
"Uniform Small",156,0,0,0
"Uniform Medium",156,0,0,0
"Uniform Large",156,0,0,0
"Equal",156,0,0,0
"Small Skewed",156,0,0,0
"Uniform Small",157,0,0,0
"Uniform Medium",157,0,0,0
"Uniform Large",157,0,0,0
"Equal",157,0,0,0
"Small Skewed",157,0,0,0
"Uniform Small",158,0,0,0
"Uniform Medium",158,0,0,0
"Uniform Large",158,0,0,0
"Equal",158,0,0,0
"Small Skewed",158,0,0,0
"Uniform Small",159,0,0,0
"Uniform Medium",159,0,0,0
"Uniform Large",159,0,0,0
"Equal",159,0,0,0
"Small Skewed",159,0,0,0
"Uniform Small",160,0,0,0
"Uniform Medium",160,0,0,0
"Uniform Large",160,0,0,0
"Equal",160,0,0,0
"Small Skewed",160,0,0,0
"Uniform Small",161,0,0,0
"Uniform Medium",161,0,0,0
"Uniform Large",161,0,0,0
"Equal",161,0,0,0
"Small Skewed",161,0,0,0
"Uniform Small",162,0,0,0
"Uniform Medium",162,0,0,0
"Uniform Large",162,0,0,0
"Equal",162,0,0,0
"Small Skewed",162,0,0,0
"Uniform Small",163,0,0,0
"Uniform Medium",163,0,0,0
"Uniform Large",163,0,0,0
"Equal",163,0,0,0
"Small Skewed",163,0,0,0
"Uniform Small",164,0,0,0
"Uniform Medium",164,0,0,0
"Uniform Large",164,0,0,0
"Equal",164,0,0,0
"Small Skewed",164,0,0,0
"Uniform Small",165,0,0,0
"Uniform Medium",165,0,0,0
"Uniform Large",165,0,0,0
"Equal",165,0,0,0
"Small Skewed",165,0,0,0
"Uniform Small",166,0,0,0
"Uniform Medium",166,0,0,0
"Uniform Large",166,0,0,0
"Equal",166,0,0,0
"Small Skewed",166,0,0,0
"Uniform Small",167,0,0,0
"Uniform Medium",167,0,0,0
"Uniform Large",167,0,0,0
"Equal",167,0,0,0
"Small Skewed",167,0,0,0
"Uniform Small",168,0,0,0
"Uniform Medium",168,0,0,0
"Uniform Large",168,0,0,0
"Equal",168,0,0,0
"Small Skewed",168,0,0,0
"Uniform Small",169,0,0,0
"Uniform Medium",169,0,0,0
"Uniform Large",169,0,0,0
"Equal",169,0,0,0
"Small Skewed",169,0,0,0
"Uniform Small",170,0,0,0
"Uniform Medium",170,0,0,0
"Uniform Large",170,0,0,0
"Equal",170,0,0,0
"Small Skewed",170,0,0,0
"Uniform Small",171,0,0,0
"Uniform Medium",171,0,0,0
"Uniform Large",171,0,0,0
"Equal",171,0,0,0
"Small Skewed",171,0,0,0
"Uniform Small",172,0,0,0
"Uniform Medium",172,0,0,0
"Uniform Large",172,0,0,0
"Equal",172,0,0,0
"Small Skewed",172,0,0,0
"Uniform Small",173,0,0,0
"Uniform Medium",173,0,0,0
"Uniform Large",173,0,0,0
"Equal",173,0,0,0
"Small Skewed",173,0,0,0
"Uniform Small",174,0,0,0
"Uniform Medium",174,0,0,0
"Uniform Large",174,0,0,0
"Equal",174,0,0,0
"Small Skewed",174,0,0,0
"Uniform Small",175,0,0,0
"Uniform Medium",175,0,0,0
"Uniform Large",175,0,0,0
"Equal",175,0,0,0
"Small Skewed",175,0,0,0
"Uniform Small",176,0,0,0
"Uniform Medium",176,0,0,0
"Uniform Large",176,0,0,0
"Equal",176,0,0,0
"Small Skewed",176,0,0,0
"Uniform Small",177,0,0,0
"Uniform Medium",177,0,0,0
"Uniform Large",177,0,0,0
